director,title,release_date,budget,revenue,return
John Lasseter,Toy Story,1995-10-30,30000000,373554033.0,12.45
Joe Johnston,Jumanji,1995-12-15,65000000,262797249.0,4.04
Howard Deutch,Grumpier Old Men,1995-12-22,0,0.0,0.0
Forest Whitaker,Waiting to Exhale,1995-12-22,16000000,81452156.0,5.09
Charles Shyer,Father of the Bride Part II,1995-02-10,0,76578911.0,0.0
Michael Mann,Heat,1995-12-15,60000000,187436818.0,3.12
Sydney Pollack,Sabrina,1995-12-15,58000000,0.0,0.0
Peter Hewitt,Tom and Huck,1995-12-22,0,0.0,0.0
Peter Hyams,Sudden Death,1995-12-22,35000000,64350171.0,1.84
Martin Campbell,GoldenEye,1995-11-16,58000000,352194034.0,6.07
Rob Reiner,The American President,1995-11-17,62000000,107879496.0,1.74
Mel Brooks,Dracula: Dead and Loving It,1995-12-22,0,0.0,0.0
Simon Wells,Balto,1995-12-22,0,11348324.0,0.0
Oliver Stone,Nixon,1995-12-22,44000000,13681765.0,0.31
Renny Harlin,Cutthroat Island,1995-12-22,98000000,10017322.0,0.1
Martin Scorsese,Casino,1995-11-22,52000000,116112375.0,2.23
Ang Lee,Sense and Sensibility,1995-12-13,16500000,135000000.0,8.18
"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",Four Rooms,1995-12-09,4000000,4300000.0,1.08
Steve Oedekerk,Ace Ventura: When Nature Calls,1995-11-10,30000000,212385533.0,7.08
Joseph Ruben,Money Train,1995-11-21,60000000,35431113.0,0.59
Barry Sonnenfeld,Get Shorty,1995-10-20,30250000,115101622.0,3.81
Jon Amiel,Copycat,1995-10-27,0,0.0,0.0
Richard Donner,Assassins,1995-10-06,50000000,30303072.0,0.61
Victor Salva,Powder,1995-10-27,0,0.0,0.0
Mike Figgis,Leaving Las Vegas,1995-10-27,3600000,49800000.0,13.83
Oliver Parker,Othello,1995-12-15,0,0.0,0.0
Lesli Linka Glatter,Now and Then,1995-10-20,12000000,27400000.0,2.28
Roger Michell,Persuasion,1995-09-27,0,0.0,0.0
"Jean-Pierre Jeunet, Marc Caro",The City of Lost Children,1995-05-16,18000000,1738611.0,0.1
Zhang Yimou,Shanghai Triad,1995-04-30,0,0.0,0.0
John N. Smith,Dangerous Minds,1995-08-11,0,180000000.0,0.0
Terry Gilliam,Twelve Monkeys,1995-12-29,29500000,168840000.0,5.72
