title,genres,popularity,vote_average
Toy Story,"Animation, Comedy, Family",21.95,7.7
Jumanji,"Adventure, Fantasy, Family",17.02,6.9
Grumpier Old Men,"Romance, Comedy",11.71,6.5
Waiting to Exhale,"Comedy, Drama, Romance",3.86,6.1
Father of the Bride Part II,Comedy,8.39,5.7
Heat,"Action, Crime, Drama, Thriller",17.92,7.7
Sabrina,"Comedy, Romance",6.68,6.2
Tom and Huck,"Action, Adventure, Drama, Family",2.56,5.4
Sudden Death,"Action, Adventure, Thriller",5.23,5.5
GoldenEye,"Adventure, Action, Thriller",14.69,6.6
The American President,"Comedy, Drama, Romance",6.32,6.5
Dracula: Dead and Loving It,"Comedy, Horror",5.43,5.7
Balto,"Family, Animation, Adventure",12.14,7.1
Nixon,"History, Drama",5.09,7.1
Cutthroat Island,"Action, Adventure",7.28,5.7
Casino,"Drama, Crime",10.14,7.8
Sense and Sensibility,"Drama, Romance",10.67,7.2
Four Rooms,"Crime, Comedy",9.03,6.5
Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure",8.21,6.1
Money Train,"Action, Comedy, Crime",7.34,5.4
Get Shorty,"Comedy, Thriller, Crime",12.67,6.4
Copycat,"Drama, Thriller",10.7,6.5
Assassins,"Action, Adventure, Crime, Thriller",11.07,6.0
Powder,"Drama, Fantasy, Science Fiction, Thriller",12.13,6.3
Leaving Las Vegas,"Drama, Romance",10.33,7.1
Othello,Drama,1.85,7.0
Now and Then,"Comedy, Drama, Family",8.68,6.6
Persuasion,"Drama, Romance",2.23,7.4
The City of Lost Children,"Fantasy, Science Fiction, Adventure",9.82,7.6
Shanghai Triad,"Drama, Crime",1.1,6.5
Dangerous Minds,"Drama, Crime",9.48,6.4
Twelve Monkeys,"Science Fiction, Thriller, Mystery",12.3,7.4
Wings of Courage,"Romance, Adventure",0.75,6.8
Babe,"Fantasy, Drama, Comedy, Family",14.4,6.0
Carrington,"History, Drama, Romance",1.49,6.4
Dead Man Walking,Drama,6.89,7.3
Across the Sea of Time,"Adventure, History, Drama, Family",0.11,3.5
It Takes Two,"Comedy, Family, Romance",7.78,6.1
Clueless,"Comedy, Drama, Romance",9.88,6.9
"Cry, the Beloved Country",Drama,0.89,6.7
Richard III,"Drama, War",4.56,6.9
Dead Presidents,"Action, Crime, Drama, History",9.88,6.6
Restoration,"Drama, Romance",10.98,6.3
Mortal Kombat,"Action, Fantasy",10.87,5.4
To Die For,"Fantasy, Drama, Comedy, Thriller",10.45,6.7
How To Make An American Quilt,"Drama, Romance",4.49,6.5
Se7en,"Crime, Mystery, Thriller",18.46,8.1
Pocahontas,"Adventure, Animation, Drama, Family",13.28,6.7
When Night Is Falling,"Drama, Romance",3.3,5.9
The Usual Suspects,"Drama, Crime, Thriller",16.3,8.1
Guardian Angel,"Action, Thriller, Drama",0.6,6.3
Mighty Aphrodite,"Comedy, Romance",15.9,6.7
Lamerica,"Drama, Foreign",1.36,7.7
The Big Green,"Action, Adventure, Comedy, Family",5.98,5.2
Georgia,Drama,4.09,6.1
Kids of the Round Table,,0.31,3.0
Home for the Holidays,"Comedy, Drama, Romance",8.42,6.3
The Postman,"Comedy, Drama, Romance",10.17,7.6
The Confessional,"Thriller, Drama, Mystery",0.12,6.5
The Indian in the Cupboard,"Adventure, Family, Fantasy",10.67,5.9
Eye for an Eye,"Drama, Thriller",4.73,5.8
Mr. Holland's Opus,"Music, Drama, Family",7.14,6.9
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,11.7,6.2
Two If by Sea,"Comedy, Romance",2.17,4.5
Bio-Dome,Comedy,6.39,4.4
Lawnmower Man 2: Beyond Cyberspace,"Action, Science Fiction",2.5,2.8
Two Bits,"Drama, Family",4.05,5.4
French Twist,"Comedy, Romance",2.52,6.0
Friday,Comedy,14.57,7.0
From Dusk Till Dawn,"Horror, Action, Thriller, Crime",15.34,6.9
Fair Game,"Action, Thriller, Romance",5.91,4.1
Kicking and Screaming,"Comedy, Drama, Romance",3.37,7.0
Les Miserables,"Drama, History",1.48,6.6
Bed of Roses,"Drama, Romance",10.41,5.1
Big Bully,"Comedy, Family",2.94,3.9
Screamers,"Horror, Science Fiction",12.76,6.1
Nico Icon,Documentary,0.13,7.3
The Crossing Guard,"Drama, Thriller",5.76,6.1
The Juror,"Drama, Thriller",6.01,5.5
